Data,Prec_Total_Diária,Temp_Max_Diária,Temp_Med_Diária,Temp_Min_Diária,Vento_Med_Diária
2005-01-02,0.0,31.3,27.2375,21.6,2.441667
2005-01-03,0.0,31.2,27.816667,25.3,3.045833
2005-01-06,0.0,30.7,26.141667,20.1,2.55
2005-01-07,0.0,31.1,25.9875,20.4,1.833333
2005-01-08,5.0,31.6,26.666667,22.2,2.075
2005-01-09,0.0,31.8,27.816667,24.0,2.7
2005-01-10,0.0,31.1,27.908333,25.8,2.970833
2005-01-12,0.0,32.1,26.908696,21.5,1.83913
2005-01-13,0.0,32.7,27.691667,22.7,2.204167
2005-01-14,0.0,30.5,27.608333,25.0,2.3625
2005-01-15,0.0,31.4,28.2375,26.6,2.908333
2005-01-16,0.0,31.9,27.466667,22.1,2.308333
2005-01-19,0.0,31.6,27.9625,25.7,2.741667
2005-01-20,0.0,31.8,26.645833,21.3,1.929167
2005-01-21,0.0,31.8,27.791667,23.2,2.270833
2005-01-22,0.0,32.1,28.1875,26.3,2.604167
2005-01-23,0.0,31.8,27.470833,23.6,1.704167
2005-01-24,0.0,32.1,27.8,23.8,1.6375
2005-01-25,0.0,32.3,28.304167,24.5,2.258333
2005-01-26,0.0,33.4,28.4625,24.2,2.229167
2005-01-27,0.0,32.8,28.7125,24.5,2.466667
2005-01-28,0.0,31.7,27.570833,21.8,2.345833
2005-01-29,0.0,32.1,27.704167,22.0,2.216667
2005-01-30,0.0,32.0,27.375,21.4,2.158333
2005-01-31,0.0,32.2,27.291667,21.3,2.041667
2005-02-02,0.8,31.8,28.254167,25.0,3.075
2005-02-04,10.0,31.2,27.616667,23.7,2.666667
2005-02-05,0.0,32.0,27.529167,23.1,2.358333
2005-02-06,0.0,31.9,27.7125,23.1,2.404167
2005-02-07,0.0,31.9,26.670833,21.5,1.854167
2005-02-09,23.0,29.7,24.8875,22.3,1.079167
2005-02-11,8.0,30.0,26.521739,24.4,1.652174
2005-02-14,0.0,32.5,27.933333,23.6,1.6625
2005-02-17,13.0,31.0,27.841667,24.6,2.875
2005-02-18,0.0,31.4,28.495833,26.7,3.233333
2005-02-20,0.0,31.9,28.370833,25.8,2.525
2005-02-21,0.0,31.9,27.625,21.9,1.9625
2005-02-22,0.0,33.3,26.920833,21.5,1.745833
2005-02-23,0.0,32.2,28.904167,27.1,2.925
2005-02-25,1.0,32.2,28.358333,24.8,2.258333
2005-02-27,0.0,31.6,28.516667,25.2,2.6
2005-02-28,0.0,31.9,27.604167,22.9,2.1125
2005-03-01,0.0,32.7,28.095833,23.1,1.9875
2005-03-02,0.0,32.6,28.429167,23.4,2.379167
2005-03-03,0.0,31.4,28.858333,27.2,2.970833
